country,iso3,year,gdp_per_capita_usd,gdp_growth_pct,unemployment_pct,inflation_cpi_pct,gov_debt_pct_gdp,current_account_pct_gdp
Australia,AUS,2024,64603.9856308464,1.37340773365975,4.072,3.1616142830575,,-1.97811216711747
Austria,AUT,2024,58268.8787651601,-0.659089573171372,5.439,2.93791574279383,,1.53088550116276
Belgium,BEL,2024,56614.5679499036,1.07045413019414,5.488,3.14349136500041,,-0.378788145846837
Canada,CAN,2024,54340.3477224733,1.55479521049516,6.45,2.38158383281173,64.9003074523507,-0.461253819279705
Chile,CHL,2024,16709.8893972307,2.64431154871538,9.056,4.29763891572524,,-1.46933081175439
Colombia,COL,2024,7919.20886825345,1.5983315366523,9.608,6.60908593728228,71.483126167997,-1.64274510323396
Costa Rica,CRI,2024,18587.1532203482,4.32122429646145,7.848,-0.412853001047069,,-1.30974019221641
Czechia,CZE,2024,31823.3078290564,1.23308611983484,2.506,2.43531202435314,,1.74244358000018
Denmark,DNK,2024,71026.4832271897,3.47783593140312,5.587,1.37220049768918,,12.2782622922388
Estonia,EST,2024,31428.3547816104,-0.0900428648493801,7.828,3.52056053296586,,-1.25864024197608
Finland,FIN,2024,53149.7671934051,0.416171964862073,8.26,1.56568906231616,,-0.665363108803007
France,FRA,2024,46103.0840855884,1.19046798275883,7.37,1.99904942291463,,0.0851279883251641
Germany,DEU,2024,56103.7323182554,-0.495851897260366,3.406,2.2564981433876,,5.77188467199732
Greece,GRC,2024,24626.1481858973,2.0865743380603,10.133,2.74149045788606,,-7.10950344070572
Hungary,HUN,2024,23292.3263882478,0.560117843140432,4.434,3.70370370370369,,1.58180029565553
Iceland,ISL,2024,86040.5309851288,-0.970676468918384,3.107,5.85683849970066,,-2.60701511674342
Ireland,IRL,2024,112894.953240805,2.59946721553708,4.369,2.11344999577317,,17.3995604849009
Israel,ISR,2024,54176.6844383302,0.871968424377442,3.15,3.07480889805025,,2.86378146024895
Italy,ITA,2024,40385.3413957669,0.692676948440536,6.778,0.982373023061417,,1.08253400174467
Japan,JPN,2024,32487.0778047567,0.104309021773304,2.563,2.73853681635241,,4.82314808005734
Korea,KOR,2024,36238.639908315,2.00361101838986,2.604,2.32174328643542,,5.28119455498379
Latvia,LVA,2024,23409.0845154775,-0.0461080109713521,6.72,1.26579885828729,,-1.57465157670388
Lithuania,LTU,2024,29384.0189598663,2.77263124530285,7.504,0.715735835228723,,3.26568276980857
Luxembourg,LUX,2024,137781.681659123,0.35861253942069,5.935,2.05113269954859,,4.39539454622425
Mexico,MEX,2024,14185.7812248529,1.42742769080466,2.711,4.72225588452932,,-0.901772757867301
Netherlands,NLD,2024,67520.4218956281,1.08100584845663,3.599,3.34754304219953,,9.12996820020418
New Zealand,NZL,2024,49205.1792146792,1.28862004711685,4.869,2.92279782301957,,-4.65310184058939
Norway,NOR,2024,86785.4334489176,2.09723059960317,3.97,3.14530134431073,,14.8151795815579
Poland,POL,2024,25103.565661423,3.02841630700273,2.472,3.7842600751287,,0.30454349270969
Portugal,PRT,2024,29292.242104753,2.13967177177636,6.384,2.41613187791884,,2.07776282936737
Slovak Republic,SVK,2024,25992.6748502048,1.93867445549446,5.234,2.75760909424272,,-4.61427189349135
Slovenia,SVN,2024,34301.0318686594,1.73139722479493,3.357,1.96562656432512,,4.55086826535468
Spain,ESP,2024,35326.7683069278,3.45525405630191,11.394,2.77417826534772,,3.18327391138732
Sweden,SWE,2024,57117.4877440616,0.820071806703865,8.528,2.83581658224034,,5.92462158549718
Switzerland,CHE,2024,103998.186685604,1.30233332541106,4.11,1.06234041976595,,7.68909869633693
TÃ¼rkiye,TUR,2024,15892.7157287241,3.3276230893799,8.449,58.5064507300343,26.6192344843666,-0.749968489565428
United Kingdom,GBR,2024,53246.3676145108,1.1264226705118,4.111,3.2715729463592,131.073062954793,-2.18793597246208
United States,USA,2024,84534.0407841548,2.79300127716779,4.106,2.94952520485207,118.110809413059,-4.12262463415284
