country,iso3,year,value,status
Luxembourg,LUX,2024,137781.681659123,ok
Ireland,IRL,2024,112894.953240805,ok
Switzerland,CHE,2024,103998.186685604,ok
Norway,NOR,2024,86785.4334489176,ok
Iceland,ISL,2024,86040.5309851288,ok
United States,USA,2024,84534.0407841548,ok
Denmark,DNK,2024,71026.4832271897,ok
Netherlands,NLD,2024,67520.4218956281,ok
Australia,AUS,2024,64603.9856308464,ok
Austria,AUT,2024,58268.8787651601,ok
Sweden,SWE,2024,57117.4877440616,ok
Belgium,BEL,2024,56614.5679499036,ok
Germany,DEU,2024,56103.7323182554,ok
Canada,CAN,2024,54340.3477224733,ok
Israel,ISR,2024,54176.6844383302,ok
United Kingdom,GBR,2024,53246.3676145108,ok
Finland,FIN,2024,53149.7671934051,ok
New Zealand,NZL,2024,49205.1792146792,ok
France,FRA,2024,46103.0840855884,ok
Italy,ITA,2024,40385.3413957669,ok
Korea,KOR,2024,36238.639908315,ok
Spain,ESP,2024,35326.7683069278,ok
Slovenia,SVN,2024,34301.0318686594,ok
Japan,JPN,2024,32487.0778047567,ok
Czechia,CZE,2024,31823.3078290564,ok
Estonia,EST,2024,31428.3547816104,ok
Lithuania,LTU,2024,29384.0189598663,ok
Portugal,PRT,2024,29292.242104753,ok
Slovak Republic,SVK,2024,25992.6748502048,ok
Poland,POL,2024,25103.565661423,ok
Greece,GRC,2024,24626.1481858973,ok
Latvia,LVA,2024,23409.0845154775,ok
Hungary,HUN,2024,23292.3263882478,ok
Costa Rica,CRI,2024,18587.1532203482,ok
Chile,CHL,2024,16709.8893972307,ok
TÃ¼rkiye,TUR,2024,15892.7157287241,ok
Mexico,MEX,2024,14185.7812248529,ok
Colombia,COL,2024,7919.20886825345,ok
